player_id,player_name,event_date,event_name,event_tier,event_category,round_phase,opponent_id,opponent_name,match_score,player_result
202918,Ahona RAY,2025-10-23,WTT Youth Contender Dubai 2025,12,,U15 Girls Singles - Group 13 - Match 2,211686,,1-3,W
202918,Ahona RAY,2025-10-23,WTT Youth Contender Dubai 2025,12,,U15 Girls Singles - Group 13 - Match 5,204496,CHOI Seowon,3-0,L
202918,Ahona RAY,2025-10-23,WTT Youth Contender Dubai 2025,12,,U15 Girls Singles - Group 13 - Match 4,204491,HUANG Yi Xuan,0-3,W
202918,Ahona RAY,2025-10-24,WTT Youth Contender Dubai 2025,12,,U15 Girls Singles - Round of 32 - Match 3,206038,SHIN Hyorin,3-1,L
202918,Ahona RAY,2026-01-02,WTT Youth Contender Vadodara 2026 Presented by Sports Authority of Gujarat,12,,U17 Girls' Singles - Group 14 - Match 2,201875,Pratha PAWAR,3-2,L
202918,Ahona RAY,2026-01-02,WTT Youth Contender Vadodara 2026 Presented by Sports Authority of Gujarat,12,,U17 Girls' Singles - Group 14 - Match 3,222174,,3-0,W
202918,Ahona RAY,2026-01-02,WTT Youth Contender Vadodara 2026 Presented by Sports Authority of Gujarat,12,,U17 Girls' Singles - Round of 32 - Match 1,202723,Divyanshi BHOWMICK,3-0,L
202918,Ahona RAY,2026-01-04,WTT Youth Contender Vadodara 2026 Presented by Sports Authority of Gujarat,12,,U15 Girls' Singles - Group 15 - Match 1,223564,,3-1,W
202918,Ahona RAY,2026-01-04,WTT Youth Contender Vadodara 2026 Presented by Sports Authority of Gujarat,12,,U15 Girls' Singles - Group 15 - Match 2,207178,Pragnya PRAGNYA,3-0,W
202918,Ahona RAY,2026-01-05,WTT Youth Contender Vadodara 2026 Presented by Sports Authority of Gujarat,12,,U15 Girls' Singles - Round of 16 - Match 6,213004,Sreejani CHAKRABORTY,2-3,L
202918,Ahona RAY,2026-01-05,WTT Youth Contender Vadodara 2026 Presented by Sports Authority of Gujarat,12,,U15 Girls' Singles - Round of 32 - Match 11,212838,,3-0,W
202918,Ahona RAY,2026-01-14,WTT Youth Contender Manama 2026,12,,U17 Girls' Singles - Group 6 - Match 3,221624,Amina ILIMBETOVA,0-3,L
202918,Ahona RAY,2026-01-14,WTT Youth Contender Manama 2026,12,,U17 Girls' Singles - Group 6 - Match 2,137770,Eseniia SHIROKOVA,3-1,L
202918,Ahona RAY,2026-01-16,WTT Youth Contender Manama 2026,12,,U15 Girls' Singles - Group 4 - Match 6,221651,,1-3,W
202918,Ahona RAY,2026-01-16,WTT Youth Contender Manama 2026,12,,U15 Girls' Singles - Group 4 - Match 4,202902,Muthuli WELATHANTHRIGE,3-0,W
202918,Ahona RAY,2026-01-16,WTT Youth Contender Manama 2026,12,,U15 Girls' Singles - Group 4 - Match 1,206754,Advika AGRAWAL,0-3,W
202918,Ahona RAY,2026-01-17,WTT Youth Contender Manama 2026,12,,U15 Girls' Singles - Semifinal - Match 2,221618,Varvara TOLMACHEVA,1-3,L
202918,Ahona RAY,2026-01-17,WTT Youth Contender Manama 2026,12,,U15 Girls' Singles - Quarterfinal - Match 3,206727,Nihal ALQAHTANI,3-0,W
202918,Ahona RAY,2026-01-19,WTT Youth Contender Doha 2026,12,,U17 Girls' Singles - Round of 32 - Match 2,201476,Anna WALTER,3-2,L
202918,Ahona RAY,2026-01-19,WTT Youth Contender Doha 2026,12,,U17 Girls' Singles - Group 6 - Match 3,205829,YEUNG Yee Lam,1-3,W
202918,Ahona RAY,2026-01-19,WTT Youth Contender Doha 2026,12,,U17 Girls' Singles - Group 6 - Match 1,200271,Nina SKERBINZ,3-2,L
202918,Ahona RAY,2026-01-21,WTT Youth Contender Doha 2026,12,,U15 Girls' Singles - Group 1 - Match 1,201145,Ankolika CHAKRABORTY,1-3,W
202918,Ahona RAY,2026-01-21,WTT Youth Contender Doha 2026,12,,U15 Girls' Singles - Group 1 - Match 3,206828,Aishath NAFIZ,0-3,W
202918,Ahona RAY,2026-01-22,WTT Youth Contender Doha 2026,12,,U15 Girls' Singles - Quarterfinal - Match 1,203270,Malak ZAKI,3-0,W
202918,Ahona RAY,2026-01-22,WTT Youth Contender Doha 2026,12,,U15 Girls' Singles - Final - Match 1,213004,Sreejani CHAKRABORTY,1-3,L
202918,Ahona RAY,2026-01-22,WTT Youth Contender Doha 2026,12,,U15 Girls' Singles - Semifinal - Match 1,204130,LEE Yeseo,3-0,W
202918,Ahona RAY,2026-01-23,WTT Youth Star Contender Doha 2026,10,,U15 Girls' Singles - Group 1 - Match 1,201145,Ankolika CHAKRABORTY,1-3,W
202918,Ahona RAY,2026-01-24,WTT Youth Star Contender Doha 2026,10,,U15 Girls' Singles - Group 1 - Match 3,204111,Ela YONTER,2-3,W
202918,Ahona RAY,2026-01-25,WTT Youth Star Contender Doha 2026,10,,U15 Girls' Singles - Semifinal - Match 1,201265,ZHANG Jia Yu,3-2,W
202918,Ahona RAY,2026-01-25,WTT Youth Star Contender Doha 2026,10,,U15 Girls' Singles - Quarterfinal - Match 1,201420,Sophia PICHLER,3-0,W
202918,Ahona RAY,2026-01-25,WTT Youth Star Contender Doha 2026,10,,U15 Girls' Singles - Final - Match 1,201145,Ankolika CHAKRABORTY,3-2,W
202918,Ahona RAY,2026-04-09,ITTF-ATTU South Asia Youth Championships Shimla 2026,,,,220919,Shyra SHAKYA,0-3,W
202918,Ahona RAY,2026-04-09,ITTF-ATTU South Asia Youth Championships Shimla 2026,,,,225605,Sabiha PAPIYA,0-3,W
202918,Ahona RAY,2026-05-18,WTT Youth Contender Bangkok 2026,12,U17 Girls' Singles,U17 Girls' Singles - Group 22 - Match 2,201137,LIAO Yixuan,2-3,W
202918,Ahona RAY,2026-05-18,WTT Youth Contender Bangkok 2026,12,U17 Girls' Singles,U17 Girls' Singles - Group 22 - Match 3,207110,LE VAN CHI Do,3-1,W
202918,Ahona RAY,2026-05-18,WTT Youth Contender Bangkok 2026,12,U17 Girls' Singles,U17 Girls' Singles - Round of 64 - Match 27,221964,SIE Jhih Chen,0-3,L
202918,Ahona RAY,2026-05-20,WTT Youth Contender Bangkok 2026,12,U15 Girls' Singles,U15 Girls' Singles - Group 8 - Match 2,202949,Patcharaporn URAPORN,3-0,W
202918,Ahona RAY,2026-05-20,WTT Youth Contender Bangkok 2026,12,U15 Girls' Singles,U15 Girls' Singles - Group 8 - Match 1,225461,Sora ARAI,2-3,L
202918,Ahona RAY,2026-05-21,WTT Youth Contender Bangkok 2026,12,U15 Girls' Singles,U15 Girls' Singles - Round of 32 - Match 8,201137,LIAO Yixuan,1-3,L
202918,Ahona RAY,2026-05-21,WTT Youth Contender Bangkok 2026,12,U15 Girls' Singles,U15 Girls' Singles - Round of 64 - Match 15,221597,ZHENG Yun Tong,3-1,W
202918,Ahona RAY,2026-05-22,WTT Youth Star Contender Bangkok 2026,10,U15 Girls' Singles,U15 Girls' Singles - Group 8 - Match 2,208929,ZAINUDEEN Sonia,3-0,W
202918,Ahona RAY,2026-05-23,WTT Youth Star Contender Bangkok 2026,10,U15 Girls' Singles,U15 Girls' Singles - Group 8 - Match 6,206688,Thunyatorn MEEKAEW,3-2,W
202918,Ahona RAY,2026-05-23,WTT Youth Star Contender Bangkok 2026,10,U15 Girls' Singles,U15 Girls' Singles - Group 8 - Match 3,213467,ZHOU Yufei,3-1,L
202918,Ahona RAY,2026-05-24,WTT Youth Star Contender Bangkok 2026,10,U15 Girls' Singles,U15 Girls' Singles - Quarterfinal - Match 3,202752,Naisha REWASKAR,0-3,L
202918,Ahona RAY,2026-05-24,WTT Youth Star Contender Bangkok 2026,10,U15 Girls' Singles,U15 Girls' Singles - Round of 16 - Match 5,201265,ZHANG Jia Yu,2-3,W
145804,Hansini MATHAN,2025-06-26,29th Asian Youth Championships 2025,11,,,221270,Shoira KODIROVA,0-3,W
145804,Hansini MATHAN,2025-06-29,29th Asian Youth Championships 2025,11,U19 Girls' Singles - Group 19 - Match 5,U19 Girls' Singles - Group 19 - Match 5,135571,LAI Chloe,3-2,W
145804,Hansini MATHAN,2025-06-29,29th Asian Youth Championships 2025,11,U19 Girls' Singles - Group 19 - Match 1,U19 Girls' Singles - Group 19 - Match 1,220834,,3-1,W
145804,Hansini MATHAN,2025-06-29,29th Asian Youth Championships 2025,11,U19 Girls' Singles - Group 19 - Match 3,U19 Girls' Singles - Group 19 - Match 3,202991,Bianca RAI,3-0,W
145804,Hansini MATHAN,2025-06-30,29th Asian Youth Championships 2025,11,U19 Girls' Singles - Round of 32 - Match 15,U19 Girls' Singles - Round of 32 - Match 15,145267,Yuna OJIO,4-0,L
145804,Hansini MATHAN,2025-07-23,WTT Youth Contender Almaty 2025,12,,U17 Girls Singles - Group 10 - Match 1,221651,,0-3,L
145804,Hansini MATHAN,2025-07-23,WTT Youth Contender Almaty 2025,12,,U17 Girls Singles - Group 10 - Match 2,201265,ZHANG Jia Yu,3-1,W
145804,Hansini MATHAN,2025-07-23,WTT Youth Contender Almaty 2025,12,,U17 Girls Singles - Round of 32 - Match 11,137752,Zlata TEREKHOVA,3-1,L
145804,Hansini MATHAN,2025-07-25,WTT Youth Contender Almaty 2025,12,,U19 Girls Singles - Group 12 - Match 2,201271,MAK Ming Shum,0-3,L
145804,Hansini MATHAN,2025-07-25,WTT Youth Contender Almaty 2025,12,,U19 Girls Singles - Group 12 - Match 1,137752,Zlata TEREKHOVA,2-3,L
145804,Hansini MATHAN,2025-08-29,WTT Feeder Olomouc 2025,7,,Women's Singles - Round of 64 - Match 27,121890,Ema LABOSOVA,2-3,W
